Month,Year,Date,Pubs_View,Site_View,Home_View,Catalog_View,CatalogData_View,Data_View,Submit_View,Twitter_Users,Total_Users
October,2020,2020-10-01,,,,,,,,24,2509
September,2020,2020-09-01,,,,,,,,5,2389
August,2020,2020-08-01,23,10882,808,510,859,1369,70,28,2602
July,2020,2020-07-01,74,15805,853,1073,678,1751,79,37,2863
June,2020,2020-06-01,32,10849,1030,548,866,1414,113,28,2934
May,2020,2020-05-01,57,10899,1010,648,778,1426,122,43,1590
April,2020,2020-04-01,48,9384,1105,599,653,1252,73,42,1367
March,2020,2020-03-01,36,6400,847,401,570,971,63,21,1442
Februrary,2020,2020-02-01,44,7172,935,497,590,1087,73,18,1599
January,2020,2020-01-01,25,6863,876,427,565,992,75,8,1348
December,2019,2019-12-01,19,4254,626,322,402,724,56,8,1062
November,2019,2019-11-01,22,5852,842,368,506,874,25,12,1285
October,2019,2019-10-01,28,5612,859,444,474,918,57,6,1106
September,2019,2019-09-01,32,5458,742,333,496,829,31,21,973
August,2019,2019-08-01,22,6006,797,440,472,912,33,55,1301
July,2019,2019-07-01,28,4390,690,458,446,904,41,1,852
June,2019,2019-06-01,24,4232,636,366,364,730,34,1,929
May,2019,2019-05-01,33,4559,571,397,417,814,44,6,845
April,2019,2019-04-01,29,5650,612,501,578,1079,51,17,884
March,2019,2019-03-01,34,5510,689,456,485,941,63,2,995
February,2019,2019-02-01,22,6510,734,527,570,1097,49,1,949
January,2019,2019-01-01,33,5297,690,465,560,1025,33,4,822
December,2018,2018-12-01,29,4284,874,349,386,735,32,3,931
November,2018,2018-11-01,38,8475,1839,387,473,860,36,5,1522
October,2018,2018-10-01,21,7866,2344,,,798,42,6,1550
September,2018,2018-09-01,33,7426,1980,,,618,63,26,1572
August,2018,2018-08-01,29,9926,2727,,,715,108,50,1483
July,2018,2018-07-01,19,10299,2266,,,773,55,4,948
June,2018,2018-06-01,20,11100,2294,,,758,134,22,999
May,2018,2018-05-01,16,14086,2882,,,805,87,23,1244
April,2018,2018-04-01,38,12965,3411,,,946,88,32,1491
March,2018,2018-03-01,23,14950,4277,,,1063,49,67,1352
February,2018,2018-02-01,31,9823,2086,,,691,49,13,652
January,2018,2018-01-01,15,9606,2092,,,746,60,4,687
December,2017,2017-12-01,17,4865,1084,,,536,36,1,469
November,2017,2017-11-01,18,7958,1654,,,779,64,6,775
October,2017,2017-10-01,35,5237,1305,,,461,58,4,596
September,2017,2017-09-01,32,4978,1089,,,431,16,0,547
August,2017,2017-08-01,25,8527,1711,,,512,64,22,581
July,2017,2017-07-01,14,8093,1670,,,660,51,5,479
June,2017,2017-06-01,20,6612,1458,,,544,70,31,631
May,2017,2017-05-01,21,7544,1642,,,510,76,25,749
April,2017,2017-04-01,18,7221,1734,,,613,73,3,569
March,2017,2017-03-01,46,7768,2073,,,535,84,13,774
February,2017,2017-02-01,44,6590,1705,,,470,90,10,713
January,2017,2017-01-01,25,6195,1573,,,638,105,0,536
December,2016,2016-12-01,18,6056,1544,,,569,44,8,635
November,2016,2016-11-01,26,7080,1252,,,614,38,1,542
October,2016,2016-10-01,18,6848,630,,,502,34,0,470
September,2016,2016-09-01,14,6019,600,,,509,10,2,436
August,2016,2016-08-01,40,7824,899,,,508,50,10,572
July,2016,2016-07-01,45,5399,979,,,276,44,90,866
June,2016,2016-06-01,20,6625,762,,,476,19,39,814
May,2016,2016-05-01,27,4259,724,,,363,33,6,676
April,2016,2016-04-01,54,5195,1070,,,487,34,17,877
March,2016,2016-03-01,29,1924,480,,,49,55,22,183